"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"26.7","BITS:37","Data Label","Global","Imported","0","0"
"27.0","BITS:38","Data Label","Global","Imported","0","0"
"27.1","BITS:39","Data Label","Global","Imported","0","0"
"27.2","BITS:3a","Data Label","Global","Imported","0","0"
"27.3","BITS:3b","Data Label","Global","Imported","0","0"
"27.4","BITS:3c","Data Label","Global","Imported","0","0"
"27.5","BITS:3d","Data Label","Global","Imported","0","0"
"27.6","BITS:3e","Data Label","Global","Imported","0","0"
"27.7","BITS:3f","Data Label","Global","Imported","0","0"
"28.0","BITS:40","Data Label","Global","Imported","0","0"
"28.1","BITS:41","Data Label","Global","Imported","0","0"
"28.2","BITS:42","Data Label","Global","Imported","0","0"
"28.3","BITS:43","Data Label","Global","Imported","0","0"
"28.4","BITS:44","Data Label","Global","Imported","0","0"
"28.5","BITS:45","Data Label","Global","Imported","0","0"
"28.6","BITS:46","Data Label","Global","Imported","0","0"
"28.7","BITS:47","Data Label","Global","Imported","0","0"
"29.0","BITS:48","Data Label","Global","Imported","0","0"
"29.1","BITS:49","Data Label","Global","Imported","0","0"
"29.2","BITS:4a","Data Label","Global","Imported","0","0"
"29.3","BITS:4b","Data Label","Global","Imported","0","0"
"29.4","BITS:4c","Data Label","Global","Imported","0","0"
"29.5","BITS:4d","Data Label","Global","Imported","0","0"
"29.6","BITS:4e","Data Label","Global","Imported","0","0"
"29.7","BITS:4f","Data Label","Global","Imported","0","0"
"2a.0","BITS:50","Data Label","Global","Imported","0","0"
"2a.1","BITS:51","Data Label","Global","Imported","0","0"
"2a.2","BITS:52","Data Label","Global","Imported","0","0"
"2a.3","BITS:53","Data Label","Global","Imported","0","0"
"2a.4","BITS:54","Data Label","Global","Imported","0","0"
"2a.5","BITS:55","Data Label","Global","Imported","0","0"
"2a.6","BITS:56","Data Label","Global","Imported","0","0"
"2a.7","BITS:57","Data Label","Global","Imported","0","0"
"2b.0","BITS:58","Data Label","Global","Imported","0","0"
"2b.1","BITS:59","Data Label","Global","Imported","0","0"
"2b.2","BITS:5a","Data Label","Global","Imported","0","0"
"2b.3","BITS:5b","Data Label","Global","Imported","0","0"
"2b.4","BITS:5c","Data Label","Global","Imported","0","0"
"2b.5","BITS:5d","Data Label","Global","Imported","0","0"
"2b.6","BITS:5e","Data Label","Global","Imported","0","0"
"2b.7","BITS:5f","Data Label","Global","Imported","0","0"
"2c.0","BITS:60","Data Label","Global","Imported","0","0"
"2c.1","BITS:61","Data Label","Global","Imported","0","0"
"2c.2","BITS:62","Data Label","Global","Imported","0","0"
"2c.3","BITS:63","Data Label","Global","Imported","0","0"
"2c.4","BITS:64","Data Label","Global","Imported","0","0"
"2c.5","BITS:65","Data Label","Global","Imported","0","0"
"2c.6","BITS:66","Data Label","Global","Imported","0","0"
"2c.7","BITS:67","Data Label","Global","Imported","0","0"
"2d.0","BITS:68","Data Label","Global","Imported","0","0"
"2d.1","BITS:69","Data Label","Global","Imported","0","0"
"2d.2","BITS:6a","Data Label","Global","Imported","0","0"
"2d.3","BITS:6b","Data Label","Global","Imported","0","0"
"2d.4","BITS:6c","Data Label","Global","Imported","0","0"
"2d.5","BITS:6d","Data Label","Global","Imported","0","0"
"2d.6","BITS:6e","Data Label","Global","Imported","0","0"
"2d.7","BITS:6f","Data Label","Global","Imported","0","0"
"2e.0","BITS:70","Data Label","Global","Imported","0","0"
"2e.1","BITS:71","Data Label","Global","Imported","0","0"
"2e.2","BITS:72","Data Label","Global","Imported","0","0"
"2e.3","BITS:73","Data Label","Global","Imported","0","0"
"2e.4","BITS:74","Data Label","Global","Imported","0","0"
"2e.5","BITS:75","Data Label","Global","Imported","0","0"
"2e.6","BITS:76","Data Label","Global","Imported","0","0"
"2e.7","BITS:77","Data Label","Global","Imported","0","0"
"2f.0","BITS:78","Data Label","Global","Imported","0","0"
"2f.1","BITS:79","Data Label","Global","Imported","0","0"
"2f.2","BITS:7a","Data Label","Global","Imported","0","0"
